job_id,title,company,location,description,tags,platform,date_posted,salary_min,salary_max,source_type
12,Lead Business Intelligence Analyst,CVS Health,"Boston, MA","As a Lead Business Intelligence Analyst, you will work closely with cross-functional stakeholders to turn data into insight. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: etl, javascript, postgresql, scala, c++. Nice to have: python, databricks, kafka.","etl, javascript, postgresql, scala, c++",Glassdoor,2026-03-18,113000.0,193000.0,synthetic
13,Junior Data Engineer,Coinbase,"Vancouver, Canada","We are looking for a Junior Data Engineer to join our growing data team. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: mongodb, data pipeline, linux, s3, rust. Nice to have: aws, etl, hadoop.","mongodb, data pipeline, linux, s3, rust",LinkedIn,2025-12-27,68000.0,115000.0,synthetic
14,Lead Business Intelligence Analyst,Netflix,Remote,"Join us as a Lead Business Intelligence Analyst and help shape how we use data across the organization. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: spark, pyspark, mysql, postgres, dbt. Nice to have: snowflake, mongodb, superset.","spark, pyspark, mysql, postgres, dbt",We Work Remotely,2026-06-10,98000.0,168000.0,synthetic
15,Staff Data Science Manager,Quantify Labs,"Amsterdam, Netherlands","As a Staff Data Science Manager, you will work closely with cross-functional stakeholders to turn data into insight. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: redshift, time series, excel, large language models, llm. Nice to have: prompt engineering, transformers, databricks.","redshift, time series, excel, large language models, llm",Monster,2026-07-06,174000.0,273000.0,synthetic
16,Senior MLOps Engineer,Optum,"Vancouver, Canada","We're seeking an experienced Senior MLOps Engineer to build and scale our analytics capabilities. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: azure, lightgbm, pyspark, rest api, keras. Nice to have: matplotlib, snowflake, numpy.","azure, lightgbm, pyspark, rest api, keras",Monster,2026-08-10,124000.0,208000.0,synthetic
17,Analytics Engineer,Coinbase,"Austin, TX","Join us as a Analytics Engineer and help shape how we use data across the organization. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: redshift, sqlite, typescript, excel, spark. Nice to have: dbt, postgres, sql.","redshift, sqlite, typescript, excel, spark",LinkedIn,2025-08-25,109000.0,178000.0,synthetic
18,Staff Data Analyst,Salesforce,Remote,"Join us as a Staff Data Analyst and help shape how we use data across the organization. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: data warehouse, databricks, power bi, postgresql, postgres. Nice to have: d3.js, go, mysql.","data warehouse, databricks, power bi, postgresql, postgres",Indeed,2026-02-09,101000.0,170000.0,synthetic
19,Senior Data Scientist,Intel,Remote,"We are looking for a Senior Data Scientist to join our growing data team. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: tensorflow, opencv, xgboost, generative ai, experiment design. Nice to have: hypothesis testing, nlp, neural networks.","tensorflow, opencv, xgboost, generative ai, experiment design",Indeed,2026-02-28,119000.0,206000.0,synthetic
20,Research Scientist,Coinbase,"Bangalore, India","We're seeking an experienced Research Scientist to build and scale our analytics capabilities. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: experiment design, scikit-learn, time series, statistics, statistical analysis. Nice to have: openai, forecasting, spacy.","experiment design, scikit-learn, time series, statistics, statistical analysis",Indeed,2026-04-28,42000.0,72000.0,synthetic
21,Data Engineer,Home Depot,Remote,"We're seeking an experienced Data Engineer to build and scale our analytics capabilities. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: redis, bash, redshift, data pipeline, go. Nice to have: django, r, c#.","redis, bash, redshift, data pipeline, go",Glassdoor,2026-07-28,100000.0,170000.0,synthetic
22,Lead Data Engineer,Capital One,"London, UK","Our company is hiring a Lead Data Engineer to help drive data-informed decisions. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: ci/cd, redshift, c#, kubernetes, model serving. Nice to have: postgresql, dbt, aws.","ci/cd, redshift, c#, kubernetes, model serving",We Work Remotely,2025-10-04,119000.0,202000.0,synthetic
23,Lead AI Engineer,Palantir,Remote,"Join us as a Lead AI Engineer and help shape how we use data across the organization. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: supervised learning, classification, deep learning, google cloud, computer vision. Nice to have: scipy, statistical analysis, machine learning.","supervised learning, classification, deep learning, google cloud, computer vision",Glassdoor,2025-12-17,161000.0,273000.0,synthetic
24,Principal Statistician,BlueRiver Tech,"Chicago, IL","As a Principal Statistician, you will work closely with cross-functional stakeholders to turn data into insight. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: clustering, typescript, matlab, neural networks, a/b testing. Nice to have: javascript, llms, nlp.","clustering, typescript, matlab, neural networks, a/b testing",Remote OK,2026-03-23,156000.0,264000.0,synthetic
25,Statistician,Goldman Sachs,"Toronto, Canada","Join us as a Statistician and help shape how we use data across the organization. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: python, r, model deployment, a/b testing, regression. Nice to have: llm, power bi, forecasting.","python, r, model deployment, a/b testing, regression",LinkedIn,2026-03-11,72000.0,122000.0,synthetic
26,Principal Research Scientist,Clearwater Data Co,"Chicago, IL","Our company is hiring a Principal Research Scientist to help drive data-informed decisions. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: scala, pytorch, c++, langchain, statistics. Nice to have: supervised learning, llms, rag.","scala, pytorch, c++, langchain, statistics",Indeed,2025-08-31,235000.0,401000.0,synthetic
27,Senior AI Engineer,Accenture,"Berlin, Germany","Join us as a Senior AI Engineer and help shape how we use data across the organization. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: linux, classification, clustering, matplotlib, pytorch. Nice to have: github actions, model deployment, data analysis.","linux, classification, clustering, matplotlib, pytorch",Remote OK,2025-11-15,115000.0,195000.0,synthetic
28,Data Analyst,Oracle,"Austin, TX","Our company is hiring a Data Analyst to help drive data-informed decisions. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: hadoop, redshift, java, matlab, data pipeline. Nice to have: bash, r, google sheets.","hadoop, redshift, java, matlab, data pipeline",Glassdoor,2026-04-05,75000.0,126000.0,synthetic
29,Lead AI Engineer,Intel,"Bangalore, India","We're seeking an experienced Lead AI Engineer to build and scale our analytics capabilities. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: django, feature engineering, numpy, llms, nlp. Nice to have: llm, nltk, tensorflow.","django, feature engineering, numpy, llms, nlp",Monster,2025-10-19,56000.0,96000.0,synthetic
30,Statistician,BlueRiver Tech,"Sydney, Australia","Join us as a Statistician and help shape how we use data across the organization. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: matlab, model deployment, llm, r, recommendation systems. Nice to have: time series, hypothesis testing, feature engineering.","matlab, model deployment, llm, r, recommendation systems",Remote OK,2026-03-29,76000.0,128000.0,synthetic
31,Lead Business Intelligence Analyst,Spotify,"Pune, India","As a Lead Business Intelligence Analyst, you will work closely with cross-functional stakeholders to turn data into insight. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: c++, d3.js, etl, scala, redshift. Nice to have: go, snowflake, r.","c++, d3.js, etl, scala, redshift",Glassdoor,2025-11-17,34000.0,59000.0,synthetic
32,MLOps Engineer,Coinbase,"San Francisco, CA","We're seeking an experienced MLOps Engineer to build and scale our analytics capabilities. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: fastapi, openai, github actions, hugging face, scipy. Nice to have: langchain, aws, ec2.","fastapi, openai, github actions, hugging face, scipy",Monster,2026-07-10,126000.0,213000.0,synthetic
33,Senior Data Analyst,Google,"Atlanta, GA","We are looking for a Senior Data Analyst to join our growing data team. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: superset, qlik, c++, looker, airflow. Nice to have: elt, data warehouse, mysql.","superset, qlik, c++, looker, airflow",LinkedIn,2025-12-27,93000.0,158000.0,synthetic
34,Principal Analytics Engineer,DataForge Inc,Remote,"As a Principal Analytics Engineer, you will work closely with cross-functional stakeholders to turn data into insight. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: c#, c++, superset, r, javascript. Nice to have: sql, kafka, python.","c#, c++, superset, r, javascript",Monster,2026-01-04,162000.0,264000.0,synthetic
35,Business Analyst,JPMorgan Chase,"Hyderabad, India","As a Business Analyst, you will work closely with cross-functional stakeholders to turn data into insight. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: snowflake, hadoop, unsupervised learning, excel, statistics. Nice to have: airflow, kafka, google sheets.","snowflake, hadoop, unsupervised learning, excel, statistics",Indeed,2026-05-25,23000.0,37000.0,synthetic
36,Principal Data Engineer,Uber,"Dublin, Ireland","Our company is hiring a Principal Data Engineer to help drive data-informed decisions. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: pyspark, terraform, postgres, linux, bash. Nice to have: jenkins, c#, elt.","pyspark, terraform, postgres, linux, bash",LinkedIn,2025-12-17,136000.0,231000.0,synthetic
37,Staff Data Science Manager,BlueRiver Tech,"Toronto, Canada","Our company is hiring a Staff Data Science Manager to help drive data-informed decisions. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: bigquery, rag, postgresql, computer vision, a/b testing. Nice to have: large language models, statistical analysis, forecasting.","bigquery, rag, postgresql, computer vision, a/b testing",LinkedIn,2026-02-03,195000.0,307000.0,synthetic
38,Senior MLOps Engineer,Snowflake,"Vancouver, Canada","Our company is hiring a Senior MLOps Engineer to help drive data-informed decisions. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: xgboost, tensorflow, airflow, hadoop, bigquery. Nice to have: etl, pytorch, kubernetes.","xgboost, tensorflow, airflow, hadoop, bigquery",LinkedIn,2025-11-29,124000.0,208000.0,synthetic
39,Principal Research Scientist,Airbnb,"Bangalore, India","Join us as a Principal Research Scientist and help shape how we use data across the organization. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: feature engineering, scala, a/b testing, huggingface, typescript. Nice to have: pandas, large language models, matlab.","feature engineering, scala, a/b testing, huggingface, typescript",LinkedIn,2026-03-25,71000.0,122000.0,synthetic
40,Data Science Manager,BlueRiver Tech,"Vancouver, Canada","We are looking for a Data Science Manager to join our growing data team. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: llm, hypothesis testing, model deployment, mysql, neural networks. Nice to have: looker, classification, mongodb.","llm, hypothesis testing, model deployment, mysql, neural networks",Indeed,2026-08-03,126000.0,198000.0,synthetic
41,Lead Research Scientist,PeakSignal AI,"New York, NY","We are looking for a Lead Research Scientist to join our growing data team. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: reinforcement learning, llm, data analysis, a/b testing, fine-tuning. Nice to have: llms, embeddings, hugging face.","reinforcement learning, llm, data analysis, a/b testing, fine-tuning",Indeed,2026-05-28,193000.0,330000.0,synthetic
42,MLOps Engineer,Cohere Health,"Berlin, Germany","We are looking for a MLOps Engineer to join our growing data team. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: tensorflow, azure, sqlite, hadoop, lightgbm. Nice to have: bigquery, data warehouse, google cloud.","tensorflow, azure, sqlite, hadoop, lightgbm",LinkedIn,2026-07-08,88000.0,148000.0,synthetic
43,Senior Research Scientist,Instacart,"New York, NY","As a Senior Research Scientist, you will work closely with cross-functional stakeholders to turn data into insight. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: time series, natural language processing, langchain, clustering, rust. Nice to have: gradio, tensorflow, rag.","time series, natural language processing, langchain, clustering, rust",We Work Remotely,2026-07-05,172000.0,295000.0,synthetic
44,Senior Data Scientist,Quantify Labs,"Amsterdam, Netherlands","As a Senior Data Scientist, you will work closely with cross-functional stakeholders to turn data into insight. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: sklearn, sql, hypothesis testing, golang, natural language processing. Nice to have: keras, forecasting, generative ai.","sklearn, sql, hypothesis testing, golang, natural language processing",Remote OK,2025-10-21,95000.0,165000.0,synthetic
45,Senior Analytics Engineer,Vertex Insights,"Denver, CO","We are looking for a Senior Analytics Engineer to join our growing data team. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: excel, kafka, google sheets, pyspark, bash. Nice to have: python, etl, elt.","excel, kafka, google sheets, pyspark, bash",Indeed,2025-08-26,137000.0,223000.0,synthetic
46,Junior Business Intelligence Analyst,Beacon Data Partners,"New York, NY","We are looking for a Junior Business Intelligence Analyst to join our growing data team. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: databricks, python, sqlite, postgresql, typescript. Nice to have: golang, rust, bash.","databricks, python, sqlite, postgresql, typescript",LinkedIn,2025-11-16,60000.0,103000.0,synthetic
47,Principal Business Intelligence Analyst,DataForge Inc,"Vancouver, Canada","As a Principal Business Intelligence Analyst, you will work closely with cross-functional stakeholders to turn data into insight. You will own the end-to-end lifecycle of data products, from ingestion to visualization. Required skills: power bi, r, superset, tableau, data warehouse. Nice to have: mysql, javascript, excel.","power bi, r, superset, tableau, data warehouse",We Work Remotely,2026-05-18,107000.0,184000.0,synthetic
48,Data Scientist,Spotify,"Denver, CO","We're seeking an experienced Data Scientist to build and scale our analytics capabilities. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: generative ai, matlab, seaborn, pytorch, rag. Nice to have: hugging face, experiment design, llms.","generative ai, matlab, seaborn, pytorch, rag",Glassdoor,2026-06-10,109000.0,190000.0,synthetic
49,Lead Business Analyst,Adobe,"Atlanta, GA","We are looking for a Lead Business Analyst to join our growing data team. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: spark, experiment design, hypothesis testing, regression, natural language processing. Nice to have: transformers, generative ai, redis.","spark, experiment design, hypothesis testing, regression, natural language processing",We Work Remotely,2025-10-05,105000.0,169000.0,synthetic
50,Data Scientist,Home Depot,Remote,"Our company is hiring a Data Scientist to help drive data-informed decisions. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: nltk, a/b testing, java, sklearn, keras. Nice to have: data science, experiment design, transformers.","nltk, a/b testing, java, sklearn, keras",Monster,2026-07-21,95000.0,165000.0,synthetic
51,Principal Statistician,Airbnb,Remote,"Our company is hiring a Principal Statistician to help drive data-informed decisions. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: c++, power bi, python, fine-tuning, d3.js. Nice to have: machine learning, hypothesis testing, reinforcement learning.","c++, power bi, python, fine-tuning, d3.js",LinkedIn,2026-01-15,136000.0,230000.0,synthetic
52,Statistician,Robinhood,"San Francisco, CA","Join us as a Statistician and help shape how we use data across the organization. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: fine-tuning, go, time series, d3.js, clustering. Nice to have: c++, rust, classification.","fine-tuning, go, time series, d3.js, clustering",Monster,2025-08-11,92000.0,155000.0,synthetic
53,Staff Data Scientist,CVS Health,"Atlanta, GA","Join us as a Staff Data Scientist and help shape how we use data across the organization. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: plotly, scipy, lightgbm, streamlit, reinforcement learning. Nice to have: golang, java, time series.","plotly, scipy, lightgbm, streamlit, reinforcement learning",Monster,2026-01-31,169000.0,294000.0,synthetic
54,Staff Machine Learning Engineer,Horizon Intelligence,Remote,"We are looking for a Staff Machine Learning Engineer to join our growing data team. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: hugging face, clustering, tensorflow, jenkins, model serving. Nice to have: generative ai, gcp, model deployment.","hugging face, clustering, tensorflow, jenkins, model serving",Monster,2025-09-30,170000.0,294000.0,synthetic
55,Senior Business Analyst,PeakSignal AI,"Chicago, IL","As a Senior Business Analyst, you will work closely with cross-functional stakeholders to turn data into insight. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: anomaly detection, natural language processing, redshift, forecasting, mongodb. Nice to have: pyspark, time series, data pipeline.","anomaly detection, natural language processing, redshift, forecasting, mongodb",Monster,2025-12-23,93000.0,151000.0,synthetic
56,Senior Data Scientist,Cohere Health,"Seattle, WA","Join us as a Senior Data Scientist and help shape how we use data across the organization. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: keras, large language models, lightgbm, neural networks, c#. Nice to have: opencv, bash, llms.","keras, large language models, lightgbm, neural networks, c#",Indeed,2026-06-11,137000.0,237000.0,synthetic
57,Lead MLOps Engineer,Clearwater Data Co,"Vancouver, Canada","Our company is hiring a Lead MLOps Engineer to help drive data-informed decisions. You'll partner with engineering and product teams to deploy machine learning models into production. Required skills: lightgbm, scikit-learn, redshift, aws, mlops. Nice to have: xgboost, rest api, model serving.","lightgbm, scikit-learn, redshift, aws, mlops",LinkedIn,2025-11-23,139000.0,233000.0,synthetic
58,Senior Business Analyst,Optum,"Pune, India","Our company is hiring a Senior Business Analyst to help drive data-informed decisions. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: google sheets, tableau, prompt engineering, power bi, forecasting. Nice to have: reinforcement learning, recommendation systems, model deployment.","google sheets, tableau, prompt engineering, power bi, forecasting",LinkedIn,2026-05-23,28000.0,46000.0,synthetic
59,Senior Analytics Engineer,Walmart Labs,"Chicago, IL","As a Senior Analytics Engineer, you will work closely with cross-functional stakeholders to turn data into insight. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: pyspark, excel, etl, dbt, bigquery. Nice to have: bash, databricks, golang.","pyspark, excel, etl, dbt, bigquery",Indeed,2026-01-13,137000.0,223000.0,synthetic
60,Staff Data Analyst,Northstar Analytics,"Denver, CO","Join us as a Staff Data Analyst and help shape how we use data across the organization. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: matlab, c#, dbt, go, data warehouse. Nice to have: r, bash, excel.","matlab, c#, dbt, go, data warehouse",Monster,2025-11-13,116000.0,196000.0,synthetic
61,Senior Research Scientist,BlueRiver Tech,"Pune, India","Our company is hiring a Senior Research Scientist to help drive data-informed decisions. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: embeddings, keras, a/b testing, streamlit, neural networks. Nice to have: forecasting, scala, regression.","embeddings, keras, a/b testing, streamlit, neural networks",LinkedIn,2026-06-15,52000.0,90000.0,synthetic
62,Senior Research Scientist,Oracle,"Boston, MA","Join us as a Senior Research Scientist and help shape how we use data across the organization. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: rust, feature engineering, statistics, pytorch, a/b testing. Nice to have: lightgbm, deep learning, seaborn.","rust, feature engineering, statistics, pytorch, a/b testing",Indeed,2026-01-14,172000.0,295000.0,synthetic
63,Statistician,DataForge Inc,"Atlanta, GA","As a Statistician, you will work closely with cross-functional stakeholders to turn data into insight. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: data science, r, natural language processing, llms, feature engineering. Nice to have: typescript, matlab, deep learning.","data science, r, natural language processing, llms, feature engineering",LinkedIn,2025-12-28,92000.0,155000.0,synthetic
64,Senior Data Engineer,Goldman Sachs,Remote,"We're seeking an experienced Senior Data Engineer to build and scale our analytics capabilities. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: ci/cd, etl, mongodb, sqlite, django. Nice to have: ec2, kafka, java.","ci/cd, etl, mongodb, sqlite, django",LinkedIn,2026-06-29,125000.0,212000.0,synthetic
65,"Data Science Manager, Finance and Strategy",Stripe,Remote,"Headquarters: Seattle, WA OR New York, NY OR Remote North America Who we are About Stripe Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career. About the team Finance and Strategy Data Science builds the forecasting models, data infrastructure, and analytics tools at the core of how Stripe measures and plans its business. The team owns everything from hierarchical time series and agentic forecasting tools that predict payment volumes and revenue margins, to the governed metrics platform that feeds company-wide dashboards and executive reporting. We partner closely with Finance and Strategy, GTM, and Product stakeholders to directly inform financial decisions across Stripe's entire business. The team combines technical depth, strategic thinking, and executive partnership that develops both technical and business expertise. What you’ll do Data Science Managers at Stripe are responsible for the success of their team. You'll be deeply involved in the modeling and design processes as well as coaching, mentoring, and leading the team. You'll have a deep understanding of how to drive efficient data science teams and you'll have a strong user-focus. You'll be working with data scientists, analysts, and engineers on creating technical solutions and communicating effectively across teams and senior leadership. Responsibilities Drive the roadmap and priorities for your team, and work with many Stripe leaders across the company to enhance our ability to be data-driven. Collaborate with stakeholders across the organization such as engineering, analytics, operations, finance, and marketing. Lead and manage processes to help the team do its best work and engage effectively with the rest of Stripe. Manage a high-performing team of data scientists, supporting them to achieve a high level of technical excellence and advance in their careers. Recruit and onboard great data scientists, in collaboration with Stripe's recruiting team. Contribute to broad data science initiatives as a member of Stripe's data science management team. Who you are We're looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement. Minimum requirements You have at least 3 years of direct management experience leading data science or ML teams, and 10 years of overall data science experience. You've demonstrated expertise in designing metrics and guiding business decisions with data. You have technical expertise to drive clarity with staff and senior scientists about architecture and strategic modeling decisions. You've managed teams that have built and shipped machine learning systems and data products at scale, and have hands-on experience with challenging problems. You work very well cross-functionally, and are able to think rigorously and make hard decisions and tradeoffs. You have clear and persuasive communication skills in writing and in speech. You thrive on a high level of autonomy and responsibility. You foster a healthy, inclusive, challenging, and supportive work environment. Preferred qualifications A PhD or MS in a quantitative field (e.g., Statistics, Operations Research, Economics, Computer Science, Engineering) You're comfortable working with geographically distributed teams. Expertise in time series forecasting, predictive modeling, or optimization Expertise in data design and building scalable data architectures To apply: https://weworkremotely.com/remote-jobs/stripe-data-science-manager-finance-and-strategy",product,We Work Remotely,"Wed, 22 Jul 2026",,,live_scraped
66,Data Analyst,DataForge Inc,"London, UK","We are looking for a Data Analyst to join our growing data team. Responsibilities include analyzing large datasets, building dashboards, and presenting findings to leadership. Required skills: data warehouse, mysql, hadoop, java, snowflake. Nice to have: dbt, excel, spark.","data warehouse, mysql, hadoop, java, snowflake",LinkedIn,2026-06-14,55000.0,94000.0,synthetic
67,Machine Learning Engineer,Spotify,"Seattle, WA","As a Machine Learning Engineer, you will work closely with cross-functional stakeholders to turn data into insight. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: fine-tuning, keras, nltk, linux, clustering. Nice to have: langchain, flask, embeddings.","fine-tuning, keras, nltk, linux, clustering",LinkedIn,2026-02-26,126000.0,218000.0,synthetic
68,Staff Data Engineer,Uber,"Seattle, WA","Join us as a Staff Data Engineer and help shape how we use data across the organization. You will design, build, and maintain data pipelines and models that power key business decisions. Required skills: airflow, ec2, redshift, sqlite, model serving. Nice to have: fastapi, terraform, microservices.","airflow, ec2, redshift, sqlite, model serving",Indeed,2025-10-02,178000.0,303000.0,synthetic
69,Junior Data Analyst,NVIDIA,"Chicago, IL","We are looking for a Junior Data Analyst to join our growing data team. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: hadoop, power bi, snowflake, postgres, java. Nice to have: typescript, postgresql, c++.","hadoop, power bi, snowflake, postgres, java",LinkedIn,2026-03-09,56000.0,95000.0,synthetic
70,Senior MLOps Engineer,Robinhood,"Denver, CO","As a Senior MLOps Engineer, you will work closely with cross-functional stakeholders to turn data into insight. This role involves conducting statistical analysis, A/B testing, and translating results into recommendations. Required skills: ci/cd, plotly, openai, streamlit, huggingface. Nice to have: lightgbm, nltk, xgboost.","ci/cd, plotly, openai, streamlit, huggingface",LinkedIn,2026-08-04,158000.0,266000.0,synthetic
